Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;1;1036;100;24;24;0;7;99,32;1016;13;5;6;2;0;0;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;2;361;100;24;24;0;2;99,45;240;119;4;4;110;1;1;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;3;1363;100;24;24;0;5;99,63;1327;31;8;14;5;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;4;1577;100;24;24;0;0;100;1381;196;22;15;144;15;15;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;6;708;100;24;24;0;0;100;598;110;8;8;93;1;1;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt i retning Hamna;2400;100;24;24;0;13;99,46;2343;44;13;20;7;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt i retning Langnestunnelen;2645;100;24;24;0;1;99,96;2219;425;34;27;347;17;17;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-01T00:00+01:00;2022-01-02T00:00+01:00;01.01.2022;Totalt;5045;100;24;24;0;14;99,72;4562;469;47;47;354;21;21;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;1;1110;100;24;24;0;13;98,83;1076;21;4;10;2;5;3;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;2;450;100;24;24;0;0;100;324;126;1;6;114;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;3;1723;100;24;24;0;0;100;1700;23;7;11;4;1;1;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;4;1902;100;24;24;0;4;99,79;1692;206;28;12;149;17;15;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;6;894;100;24;24;0;3;99,66;762;129;16;12;99;2;2;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt i retning Hamna;2836;100;24;24;0;14;99,51;2776;46;11;23;6;6;4;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt i retning Langnestunnelen;3243;100;24;24;0;6;99,81;2778;459;45;28;362;24;22;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-02T00:00+01:00;2022-01-03T00:00+01:00;02.01.2022;Totalt;6079;100;24;24;0;20;99,67;5554;505;56;51;368;30;26;4
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;1;2629;100;24;24;0;11;99,58;2530;88;41;30;7;10;9;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;2;2831;100;24;24;0;90;96,82;2320;421;36;43;310;32;28;4
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;3;7684;100;24;24;0;1;99,99;7548;135;54;57;14;10;10;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;4;7024;100;24;24;0;369;94,75;6066;589;188;91;233;77;69;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;6;3088;100;24;24;0;0;100;2727;361;107;36;213;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt i retning Hamna;10314;100;24;24;0;12;99,88;10078;224;95;87;21;21;19;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt i retning Langnestunnelen;12942;100;24;24;0;459;96,45;11113;1370;331;170;756;113;102;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-03T00:00+01:00;2022-01-04T00:00+01:00;03.01.2022;Totalt;23256;100;24;24;0;471;97,97;21191;1594;426;257;777;134;121;13
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;1;2638;100;24;24;0;19;99,28;2523;96;34;41;11;10;10;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;2;2804;100;24;24;0;74;97,36;2326;404;36;56;282;30;28;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;3;7221;100;24;24;0;4;99,94;7065;152;60;74;11;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;4;6581;100;24;24;0;355;94,61;5658;568;177;79;254;58;51;7
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-01-04T00:00+01:00;2022-01-05T00:00+01:00;04.01.2022;6;2984;100;24;24;0;2;99,93;2627;355;73;64;216;2;2;0
