Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-21T00:00+02:00;2023-04-22T00:00+02:00;21.04.2023;4;6705;100;24;24;0;268;96;5779;658;221;96;284;57;50;7
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-21T00:00+02:00;2023-04-22T00:00+02:00;21.04.2023;6;3235;100;24;24;0;0;100;2849;386;111;56;214;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-21T00:00+02:00;2023-04-22T00:00+02:00;21.04.2023;Totalt i retning Hamna;9837;100;24;24;0;28;99,72;9505;304;103;160;23;18;18;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-21T00:00+02:00;2023-04-22T00:00+02:00;21.04.2023;Totalt i retning Langnestunnelen;12688;100;24;24;0;341;97,31;10906;1441;354;228;772;87;76;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-21T00:00+02:00;2023-04-22T00:00+02:00;21.04.2023;Totalt;22525;100;24;24;0;369;98,36;20411;1745;457;388;795;105;94;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;1;1926;100;24;24;0;21;98,91;1859;46;19;23;1;3;2;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;2;2269;100;24;24;0;4;99,82;2044;221;12;12;187;10;8;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;3;7515;100;24;24;0;46;99,39;7379;90;30;37;14;9;8;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;4;6559;100;24;24;0;67;98,98;6064;428;113;57;214;44;38;6
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;6;2647;100;24;24;0;0;100;2433;214;60;26;126;2;2;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;Totalt i retning Hamna;9439;100;24;24;0;66;99,3;9238;135;49;59;15;12;10;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;Totalt i retning Langnestunnelen;11477;100;24;24;0;72;99,37;10541;864;185;96;527;56;48;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-22T00:00+02:00;2023-04-23T00:00+02:00;22.04.2023;Totalt;20916;100;24;24;0;138;99,34;19779;999;234;155;542;68;58;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;1;1077;100;24;24;0;12;98,89;1039;26;7;9;5;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;2;532;100;24;24;0;1;99,81;388;143;4;11;119;9;9;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;3;2137;100;24;24;0;3;99,86;2092;42;16;17;5;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;4;2182;100;24;24;0;7;99,68;1956;219;23;17;168;11;11;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;6;961;100;24;24;0;0;100;802;159;28;15;115;1;1;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;Totalt i retning Hamna;3215;100;24;24;0;16;99,5;3131;68;23;26;10;9;9;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;Totalt i retning Langnestunnelen;3674;100;24;24;0;7;99,81;3146;521;55;43;402;21;21;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-23T00:00+02:00;2023-04-24T00:00+02:00;23.04.2023;Totalt;6889;100;24;24;0;23;99,67;6277;589;78;69;412;30;30;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;1;2337;100;24;24;0;30;98,72;2190;117;38;46;13;20;18;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;2;2753;100;24;24;0;79;97,13;2213;461;37;87;296;41;38;3
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;3;6908;100;24;24;0;4;99,94;6691;213;79;97;12;25;23;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;4;6577;100;24;24;0;227;96,55;5654;696;237;116;275;68;61;7
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;6;2932;100;24;24;0;0;100;2555;377;98;57;214;8;8;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;Totalt i retning Hamna;9244;100;24;24;0;35;99,62;8881;328;116;143;25;44;41;3
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;Totalt i retning Langnestunnelen;12263;100;24;24;0;305;97,51;10422;1536;373;260;785;118;107;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-24T00:00+02:00;2023-04-25T00:00+02:00;24.04.2023;Totalt;21507;100;24;24;0;340;98,42;19303;1864;489;403;810;162;148;14
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-25T00:00+02:00;2023-04-26T00:00+02:00;25.04.2023;1;2375;100;24;24;0;21;99,12;2236;118;43;44;19;12;12;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-25T00:00+02:00;2023-04-26T00:00+02:00;25.04.2023;2;2675;100;24;24;0;69;97,42;2206;400;31;53;285;31;21;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-25T00:00+02:00;2023-04-26T00:00+02:00;25.04.2023;3;6574;100;24;24;0;3;99,95;6396;175;62;88;9;16;16;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-25T00:00+02:00;2023-04-26T00:00+02:00;25.04.2023;4;6149;100;24;24;0;233;96,21;5224;692;234;113;272;73;65;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-25T00:00+02:00;2023-04-26T00:00+02:00;25.04.2023;6;2870;100;24;24;0;0;100;2494;376;92;58;223;3;3;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2023-04-25T00:00+02:00;2023-04-26T00:00+02:00;25.04.2023;Totalt i retning Hamna;8952;100;24;24;0;24;99,73;8631;297;107;133;29;28;28;0
